article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
238875636,WEATHER FORECASTING. MR. WRAGGE'S THIRD LECTURE.,1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",14,1911-09-09,Article,399,N,0,http://nla.gov.au/nla.news-article238875636,http://trove.nla.gov.au/newspaper/page/25747114
192248998,"""Rumored"" Willy-Willy",932,"Nor-West Echo (Broome, WA : 1914 - 1918)",1,1918-03-16,Article,222,N,0,http://nla.gov.au/nla.news-article192248998,http://trove.nla.gov.au/newspaper/page/21398641
89786764,OFFICIAL WARNINGS.,319,"Leader (Melbourne, Vic. : 1862 - 1918)",26 S,1918-03-16,Article,198,N,0,http://nla.gov.au/nla.news-article89786764,http://trove.nla.gov.au/newspaper/page/8542896
155102277,OFFICIAL WARNINGS.,809,"The Age (Melbourne, Vic. : 1854 - 1954)",8,1918-03-14,Article,198,N,0,http://nla.gov.au/nla.news-article155102277,http://trove.nla.gov.au/newspaper/page/18604195
133958639,"THE RECENT CYCLONE. THE WRECKED KOOMBANA. PERTH, Tuesday.",356,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),5,1912-04-10,Article,194,N,0,http://nla.gov.au/nla.news-article133958639,http://trove.nla.gov.au/newspaper/page/10059802
72911572,"""LOOKING BACKWARD.""",225,The Horsham Times (Vic. : 1882 - 1954),5,1912-05-10,Article,216,N,0,http://nla.gov.au/nla.news-article72911572,http://trove.nla.gov.au/newspaper/page/7091757
10362691,HOW TO PREDICT WEATHER.,10,"The Mercury (Hobart, Tas. : 1860 - 1954)",6,1914-02-20,Article,756,N,1,http://nla.gov.au/nla.news-article10362691,http://trove.nla.gov.au/newspaper/page/885406
75015165,FENCING.,245,Brighton Southern Cross (Vic. : 1896 - 1918),2,1914-05-02,Article,855,N,0,http://nla.gov.au/nla.news-article75015165,http://trove.nla.gov.au/newspaper/page/7317317
42877969,Northern Meteorologicai Station. Public Meeting in Cairns. Federal Government to be Again Appreached.,61,Cairns Post (Qld. : 1909 - 1954),3,1914-02-05,Article,1940,N,0,http://nla.gov.au/nla.news-article42877969,http://trove.nla.gov.au/newspaper/page/3891278
221536884,"SETTLED CONDITIONS COMING. THOUGH ""LEVY"" MEANS TO PLAY UP. MR. WRAGGE'S SPECIAL FORECAST.",1180,"The Sun (Sydney, NSW : 1910 - 1954)",8,1911-09-16,Article,470,N,0,http://nla.gov.au/nla.news-article221536884,http://trove.nla.gov.au/newspaper/page/24450628
